,PERIODO,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,CUENTA,NOMBRE_CUENTA,CUENTA_NIVEL_01,CUENTA_NIVEL_02,CUENTA_NIVEL_03,CUENTA_NIVEL_04,CUENTA_NIVEL_05,CUENTA_NIVEL_06,CUENTA_NIVEL_07,CUENTA_NIVEL_08,CUENTA_NIVEL_09,CUENTA_NIVEL_10,VIGENCIA_DEL_GASTO,SECCION_PRESUPUESTAL,PROGRAMATICO_MGA,BPIN,SECTOR,APROPIACION_INICIAL,APROPIACION_DEFINITIVA,VIGENCIA,TRIMESTRE,tipo,PRESUPUESTO_DEFINITIVO,PRESUPUESTO_INICIAL,TOTAL_RECAUDO,CPC,FUENTES_FINANCIACION,APLICA_DESTINACION_ESPECIFICA,TIPO_NORMA_DESTINACION,TIPO_NORMA,NUMERO_NORMA,TERCERO,POLITICA_PUBLICA,DETALLE_SECTORIAL,RECAUDO_VAC_SS,RECAUDO_VAC_CS,RECAUDO_VAN_SS,RECAUDO_VAN_CS,SITUACION_DE_FONDOS,TERCEROS,SECTORIAL,COMPROMISOS,OBLIGACIONES,PAGOS
4958085,20220901,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08,TRANSFERENCIAS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Tercer Trimestre,pres_ingreso,14000232583.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
4978669,20220301,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08.06.002,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Primer Trimestre,pres_ingreso,8444160914.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
5022873,20211201,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2,RECURSOS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Cuarto Trimestre,pres_ingreso,62015950400.0,61529982651.0,,,,,,,,,,,,,,,,,,,,
5024290,20211201,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08,TRANSFERENCIAS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Cuarto Trimestre,pres_ingreso,62015950400.0,61529982651.0,,,,,,,,,,,,,,,,,,,,
5051279,20210901,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.0.02,BANCOS,INGRESOS,DISPONIBILIDAD INICIAL,BANCOS,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Tercer Trimestre,pres_ingreso,0.0,0.0,,,,,,,,,,,,,,,,,,,,
5060995,20220601,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08.06.002,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Segundo Trimestre,pres_ingreso,8648308999.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
5095809,20220601,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08,TRANSFERENCIAS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Segundo Trimestre,pres_ingreso,8648308999.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
5096816,20220601,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08.06,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Segundo Trimestre,pres_ingreso,8648308999.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
5099748,20230601,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08.06.002,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2023,Segundo Trimestre,pres_ingreso,67751174503.0,67751174503.0,,,,,,,,,,,,,,,,,,,,
5102723,20210901,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08.06,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Tercer Trimestre,pres_ingreso,60580246403.0,60580246403.0,,,,,,,,,,,,,,,,,,,,
5105316,20210901,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08,TRANSFERENCIAS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Tercer Trimestre,pres_ingreso,60580246403.0,60580246403.0,,,,,,,,,,,,,,,,,,,,
5110026,20220901,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08.06,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Tercer Trimestre,pres_ingreso,14000232583.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
5135753,20230601,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08,TRANSFERENCIAS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2023,Segundo Trimestre,pres_ingreso,67751174503.0,67751174503.0,,,,,,,,,,,,,,,,,,,,
5141004,20221201,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08,TRANSFERENCIAS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Cuarto Trimestre,pres_ingreso,14350948976.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
5153597,20210301,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2,RECURSOS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Primer Trimestre,pres_ingreso,656452334.0,656452334.0,,,,,,,,,,,,,,,,,,,,
5158438,20220901,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2,RECURSOS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Tercer Trimestre,pres_ingreso,14000232583.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
5166275,20210601,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1,INGRESOS,INGRESOS,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Segundo Trimestre,pres_ingreso,905792775.0,905792775.0,,,,,,,,,,,,,,,,,,,,
5172191,20230301,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08.06.002,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2023,Primer Trimestre,pres_ingreso,66481044300.0,66481044300.0,,,,,,,,,,,,,,,,,,,,
5175688,20210901,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.0,DISPONIBILIDAD INICIAL,INGRESOS,DISPONIBILIDAD INICIAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Tercer Trimestre,pres_ingreso,449846424.0,449846424.0,,,,,,,,,,,,,,,,,,,,
5184302,20230601,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08.06,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2023,Segundo Trimestre,pres_ingreso,67751174503.0,67751174503.0,,,,,,,,,,,,,,,,,,,,
5242370,20230601,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2,RECURSOS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2023,Segundo Trimestre,pres_ingreso,67751174503.0,67751174503.0,,,,,,,,,,,,,,,,,,,,
5245211,20230301,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1,INGRESOS,INGRESOS,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2023,Primer Trimestre,pres_ingreso,66481044300.0,66481044300.0,,,,,,,,,,,,,,,,,,,,
5262374,20221201,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1,INGRESOS,INGRESOS,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Cuarto Trimestre,pres_ingreso,14350948976.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
5284255,20221201,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08.06.002,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Cuarto Trimestre,pres_ingreso,14350948976.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
5287121,20210901,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.0.03,INVERSIONES TEMPORALES,INGRESOS,DISPONIBILIDAD INICIAL,INVERSIONES TEMPORALES,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Tercer Trimestre,pres_ingreso,449846424.0,449846424.0,,,,,,,,,,,,,,,,,,,,
5295577,20210301,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2.08.06,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,INGRESOS,RECURSOS DE CAPITAL,TRANSFERENCIAS DE CAPITAL,DE OTRAS ENTIDADES DEL GOBIERNO GENERAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Primer Trimestre,pres_ingreso,656452334.0,656452334.0,,,,,,,,,,,,,,,,,,,,
5302539,20230301,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1.2,RECURSOS DE CAPITAL,INGRESOS,RECURSOS DE CAPITAL,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2023,Primer Trimestre,pres_ingreso,66481044300.0,66481044300.0,,,,,,,,,,,,,,,,,,,,
5311504,20220901,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1,INGRESOS,INGRESOS,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2022,Tercer Trimestre,pres_ingreso,14000232583.0,8564563390.0,,,,,,,,,,,,,,,,,,,,
5312268,20211201,923272433,Agencia Nacional Inmobiliaria Virgilio Barco Vargas,1,INGRESOS,INGRESOS,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,,,,,,,,2021,Cuarto Trimestre,pres_ingreso,62015950400.0,61529982651.0,,,,,,,,,,,,,,,,,,,,
